"{""max_tokens"": 1024, ""max_workers"": 4, ""measure_performance"": false, ""models"": [""openai/gpt-4o"", ""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6""], ""questions_csv"": ""Questions/questions_parking.csv"", ""runs_per_question"": 5, ""use_redis_cache"": true}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,answer,matches_expected,raw_response,response_source
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,1,1024,0,yes,True,Yes.,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,2,1024,0,yes,True,Yes.,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,3,1024,0,yes,True,Yes.,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,4,1024,0,yes,True,Yes.,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,5,1024,0,yes,True,Yes.,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,1,1024,52,yes,True,yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,2,1024,40,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,3,1024,42,yes,True,yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,4,1024,55,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,5,1024,45,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,1,1024,0,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,2,1024,0,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,3,1024,0,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,4,1024,0,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,5,1024,0,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,1,1024,205,yes,True,yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,2,1024,167,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,3,1024,125,yes,True,yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,4,1024,73,yes,True,Yes,redis_cache
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,5,1024,514,yes,True,Yes,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,1,1024,0,no,True,No.,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,2,1024,0,no,True,No.,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,3,1024,0,no,True,No.,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,4,1024,0,no,True,No.,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,5,1024,0,no,True,No.,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,1,1024,41,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,2,1024,54,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,3,1024,38,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,4,1024,45,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,5,1024,46,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,1,1024,0,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,2,1024,0,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,3,1024,0,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,4,1024,0,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,5,1024,0,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,1,1024,71,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,2,1024,72,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,3,1024,76,no,True,No.,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,4,1024,94,no,True,No,redis_cache
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,5,1024,335,no,True,No,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,1,1024,0,yes,True,Yes.,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,2,1024,0,yes,True,Yes.,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,3,1024,0,yes,True,Yes.,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,4,1024,0,yes,True,Yes.,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,5,1024,0,yes,True,Yes.,redis_cache
